date,station_name,river_basin,upstream_dam_outflow_cumec,discharge_cumec,water_level_m,warning_level_m,danger_level_m,highest_flood_level_m
2019-01-01,Mundali_Barrage_Cuttack,Mahanadi,449.05,1490.0,21.2,26.5,27.5,29.2
2019-01-02,Mundali_Barrage_Cuttack,Mahanadi,825.53,2574.06,21.42,26.5,27.5,29.2
2019-01-03,Mundali_Barrage_Cuttack,Mahanadi,540.97,1567.18,21.39,26.5,27.5,29.2
2019-01-04,Mundali_Barrage_Cuttack,Mahanadi,416.82,1326.67,21.32,26.5,27.5,29.2
2019-01-05,Mundali_Barrage_Cuttack,Mahanadi,600.91,1722.15,21.38,26.5,27.5,29.2
2019-01-06,Mundali_Barrage_Cuttack,Mahanadi,492.19,1462.05,21.37,26.5,27.5,29.2
2019-01-07,Mundali_Barrage_Cuttack,Mahanadi,740.93,2343.81,21.62,26.5,27.5,29.2
2019-01-08,Mundali_Barrage_Cuttack,Mahanadi,555.19,1423.69,21.58,26.5,27.5,29.2
2019-01-09,Mundali_Barrage_Cuttack,Mahanadi,531.27,1991.23,21.7,26.5,27.5,29.2
2019-01-10,Mundali_Barrage_Cuttack,Mahanadi,597.38,1544.26,21.67,26.5,27.5,29.2
2019-01-11,Mundali_Barrage_Cuttack,Mahanadi,502.22,1406.72,21.56,26.5,27.5,29.2
2019-01-12,Mundali_Barrage_Cuttack,Mahanadi,521.22,1608.95,21.49,26.5,27.5,29.2
2019-01-13,Mundali_Barrage_Cuttack,Mahanadi,592.32,1602.91,21.49,26.5,27.5,29.2
2019-01-14,Mundali_Barrage_Cuttack,Mahanadi,474.49,1122.46,21.41,26.5,27.5,29.2
2019-01-15,Mundali_Barrage_Cuttack,Mahanadi,635.78,2120.65,21.46,26.5,27.5,29.2
2019-01-16,Mundali_Barrage_Cuttack,Mahanadi,437.27,1231.78,21.41,26.5,27.5,29.2
2019-01-17,Mundali_Barrage_Cuttack,Mahanadi,491.3,1311.36,21.34,26.5,27.5,29.2
2019-01-18,Mundali_Barrage_Cuttack,Mahanadi,418.86,1389.64,21.36,26.5,27.5,29.2
2019-01-19,Mundali_Barrage_Cuttack,Mahanadi,465.77,1541.51,21.42,26.5,27.5,29.2
2019-01-20,Mundali_Barrage_Cuttack,Mahanadi,415.13,1380.73,21.42,26.5,27.5,29.2
2019-01-21,Mundali_Barrage_Cuttack,Mahanadi,604.32,1777.09,21.5,26.5,27.5,29.2
2019-01-22,Mundali_Barrage_Cuttack,Mahanadi,552.1,1638.6,21.5,26.5,27.5,29.2
