date,rainfall_imd_mm,temp_max_c,temp_min_c,pressure_hpa,wind_speed_kmh,relative_humidity_pct
2019-01-01,0.0,35.69,28.75,1008.48,18.74,58.84
2019-01-02,8.76,36.89,29.8,1008.29,14.48,53.01
2019-01-03,0.0,34.29,24.62,1007.16,12.72,51.29
2019-01-04,0.0,40.59,33.39,1007.66,21.68,56.97
2019-01-05,2.34,36.37,29.78,1009.28,12.78,64.96
2019-01-06,1.71,39.13,31.26,1006.07,22.76,61.48
2019-01-07,8.73,37.84,26.3,1008.8,15.84,56.11
2019-01-08,0.0,38.86,30.72,1007.19,15.03,46.18
2019-01-09,4.05,35.87,29.84,1008.67,16.76,60.65
2019-01-10,0.0,35.47,24.29,1007.54,9.48,60.5
2019-01-11,0.93,39.42,29.59,1006.6,14.02,60.3
2019-01-12,3.12,37.7,27.07,1010.12,24.9,51.33
2019-01-13,0.0,37.06,29.18,1007.55,16.71,55.1
2019-01-14,0.0,39.76,32.39,1007.22,13.36,52.87
2019-01-15,6.64,37.73,26.5,1009.34,14.07,59.56
2019-01-16,0.0,39.38,28.01,1008.26,11.89,53.36
2019-01-17,0.0,39.11,27.94,1007.56,14.02,53.83
2019-01-18,0.0,35.68,27.66,1007.57,13.52,57.02
2019-01-19,0.0,34.51,22.68,1010.11,8.24,54.87
2019-01-20,0.0,36.52,27.5,1007.35,13.42,56.51
2019-01-21,1.68,38.52,31.09,1009.03,12.01,62.42
2019-01-22,0.0,37.33,30.78,1011.29,12.52,59.62
2019-01-23,0.1,39.48,33.39,1009.3,9.37,55.37
2019-01-24,0.0,37.07,28.74,1006.63,11.65,53.39
2019-01-25,0.0,35.2,25.24,1008.83,14.68,61.54
2019-01-26,0.0,35.19,23.8,1007.69,14.78,58.91
2019-01-27,0.0,38.36,26.97,1006.7,14.75,56.73
2019-01-28,0.0,36.13,30.08,1009.27,14.88,51.43
2019-01-29,0.44,39.34,29.43,1008.68,16.31,50.36
2019-01-30,0.0,37.85,27.95,1006.77,15.27,59.7
2019-01-31,0.0,34.97,27.37,1006.87,16.64,53.8
2019-02-01,0.0,35.41,25.95,1010.18,9.78,54.83
2019-02-02,0.0,33.17,21.53,1008.72,13.63,58.7
2019-02-03,0.0,33.54,22.44,1005.73,11.22,52.44
2019-02-04,0.0,35.51,26.09,1008.58,14.69,50.96
2019-02-05,0.0,35.21,23.95,1006.29,16.62,60.33
2019-02-06,0.0,32.27,21.41,1006.59,14.91,56.29
2019-02-07,0.0,35.99,25.2,1013.78,17.99,59.94
2019-02-08,0.0,34.26,26.01,1009.14,14.5,50.72
2019-02-09,1.57,31.25,21.7,1008.44,12.98,60.91
2019-02-10,1.85,33.33,23.59,1008.91,21.63,64.77
2019-02-11,0.0,30.64,19.87,1008.28,12.67,46.65
2019-02-12,0.06,33.08,26.04,1010.49,12.59,51.75
2019-02-13,0.0,36.46,28.78,1009.9,20.37,60.16
2019-02-14,0.0,33.04,22.49,1006.08,15.33,58.87
2019-02-15,0.0,34.4,25.56,1006.6,13.24,48.76
2019-02-16,0.0,37.47,31.2,1009.98,18.32,47.82
2019-02-17,0.0,35.13,28.16,1009.36,14.6,52.0
2019-02-18,2.2,34.49,26.16,1008.86,12.71,66.22
2019-02-19,0.0,33.9,22.14,1008.88,12.54,56.04
2019-02-20,0.0,32.97,26.27,1009.27,16.86,62.26
2019-02-21,0.0,35.72,28.03,1008.94,15.66,51.45
2019-02-22,0.0,34.0,25.77,1008.18,11.99,60.81
2019-02-23,0.0,33.56,23.05,1009.65,12.78,56.31
